playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2506194","null","Nick Novak","K","HOU","K","HOU","null","1.4","null","null","null","26","null","null","0.05","null","null","null","1.4","1.4","4.5293","null",
"2506264","null","Robbie Gould","K","NYG","K","NYG","null","1.5","null","null","null","23","null","null","0","null","null","null","1.5","1.5","7.8241","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","16.57","null","null","null","14","null","null","0.25","null","null","null","16.57","16.57","6.667","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","20.11","null","null","null","2","null","null","0.8","null","null","null","20.11","20.11","null","null",
"2506386","null","Mike Nugent","K","CIN","K","CIN","null","1.5","null","null","null","23","null","null","0.05","null","null","null","1.5","1.5","3.2114","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","null","9.67","null","null","null","26","null","null","0.045","null","null","null","9.67","9.67","2.8306","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","10.07","null","null","null","25","null","null","0.405","null","null","null","10.07","10.07","5.1072","null",
"2506481","null","Dan Orlovsky","QB","DET","QB","DET","null","0.028","null","null","null","52","null","null","0.006","null","null","null","0.028","0.028","null","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.072","null","null","null","40","null","null","0.007","null","null","null","0.072","0.072","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","15.63","null","null","null","18","null","null","0.27","null","null","null","15.63","15.63","null","null",
"2506677","null","Matt Prater","K","DET","K","DET","null","2.1","null","null","null","10","null","null","0","null","null","null","2.1","2.1","3.2114","null",
"2506874","null","Reggie Bush","RB","BUF","RB","BUF","null","0.4","null","null","null","87","null","null","0.055","null","null","null","0.4","0.4","8.7117","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","0.012","null","null","null","57","null","null","0.004","null","null","null","0.012","0.012","null","null",
"2506897","null","Devin Hester","WR","BAL","WR","BAL","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","null","2.4","null","null","null","1","null","null","0","null","null","null","2.4","2.4","8.4831","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0.1","null","null","null","151","null","null","0.1","null","null","null","0.1","0.1","null","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","null","3.13","null","null","null","104","null","null","0.03","null","null","null","3.13","3.13","null","null",
"2507183","null","James Jones","WR","FA","WR","FA","null","0","null","null","null","152","null","null","0","null","null","null","0","0","null","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","null","0.65","null","null","null","64","null","null","0.145","null","null","null","0.65","0.65","8.3751","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","null","2.2","null","null","null","7","null","null","0.05","null","null","null","2.2","2.2","7.1652","null",
