playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","7.76","null","null","null","14","null","null","1.59","null","null","null","7.76","7.76","2.9392","null",
"2505982","null","Matt Schaub","QB","ATL","QB","ATL","null","0.174","null","null","null","45","null","null","0.002","null","null","null","0.174","0.174","null","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","16.706","null","null","null","17","null","null","0.217","null","null","null","16.706","16.706","7.7993","null",
"2506053","null","Luke McCown","QB","NO","QB","NO","null","0.17","null","null","null","47","null","null","0.037","null","null","null","0.17","0.17","null","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","14.47","null","null","null","5","null","null","0.56","null","null","null","14.47","14.47","null","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","19.124","null","null","null","9","null","null","1.008","null","null","null","19.124","19.124","2.8927","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","17.332","null","null","null","16","null","null","0.633","null","null","null","17.332","17.332","4.4024","null",
"2506147","null","John Kuhn","RB","NO","RB","NO","null","2.39","null","null","null","62","null","null","0.165","null","null","null","2.39","2.39","7.198","null",
"2506194","null","Nick Novak","K","HOU","K","HOU","null","1.7","null","null","null","25","null","null","0.2","null","null","null","1.7","1.7","4.5293","null",
"2506264","null","Robbie Gould","K","NYG","K","NYG","null","1.8","null","null","null","21","null","null","0","null","null","null","1.8","1.8","7.8241","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","16.268","null","null","null","20","null","null","1.068","null","null","null","16.268","16.268","6.667","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","20.574","null","null","null","2","null","null","0.309","null","null","null","20.574","20.574","null","null",
"2506386","null","Mike Nugent","K","CIN","K","CIN","null","2.1","null","null","null","14","null","null","0.05","null","null","null","2.1","2.1","3.2114","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","null","12.2","null","null","null","20","null","null","0.46","null","null","null","12.2","12.2","2.8093","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","8.4","null","null","null","30","null","null","0.27","null","null","null","8.4","8.4","5.0991","null",
"2506481","null","Dan Orlovsky","QB","DET","QB","DET","null","0.178","null","null","null","44","null","null","0.004","null","null","null","0.178","0.178","null","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.132","null","null","null","49","null","null","0.014","null","null","null","0.132","0.132","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","16.286","null","null","null","19","null","null","0.491","null","null","null","16.286","16.286","null","null",
"2506677","null","Matt Prater","K","DET","K","DET","null","2.4","null","null","null","5","null","null","0.1","null","null","null","2.4","2.4","3.2114","null",
"2506874","null","Reggie Bush","RB","BUF","RB","BUF","null","0.9","null","null","null","78","null","null","0.05","null","null","null","0.9","0.9","8.7245","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","0.106","null","null","null","52","null","null","0.01","null","null","null","0.106","0.106","null","null",
"2506897","null","Devin Hester","WR","BAL","WR","BAL","null","0.21","null","null","null","166","null","null","0.025","null","null","null","0.21","0.21","null","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","null","2.9","null","null","null","1","null","null","0.35","null","null","null","2.9","2.9","8.4831","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0.32","null","null","null","162","null","null","0.04","null","null","null","0.32","0.32","null","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","null","0","null","null","null","117","null","null","0","null","null","null","0","0","null","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","null","5.49","null","null","null","75","null","null","0.025","null","null","null","5.49","5.49","null","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","null","0.88","null","null","null","61","null","null","0.08","null","null","null","0.88","0.88","8.4191","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","null","2.2","null","null","null","10","null","null","4.4409e-16","null","null","null","2.2","2.2","7.1652","null",
"2507232","null","Mason Crosby","K","GB","K","GB","null","2.3","null","null","null","8","null","null","0.1","null","null","null","2.3","2.3","2.5524","null",
"2507282","null","Matt Moore","QB","MIA","QB","MIA","null","0.182","null","null","null","43","null","null","0.006","null","null","null","0.182","0.182","null","null",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","null","2.3","null","null","null","6","null","null","4.4409e-16","null","null","null","2.3","2.3","2.2229","null",
"2507405","null","Matthew Mulligan","TE","DET","TE","DET","null","0.5","null","null","null","71","null","null","0.03","null","null","null","0.5","0.5","null","null",
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","null","1.16","null","null","null","74","null","null","0.2","null","null","null","1.16","1.16","7.5797","null",
"2507463","null","Connor Barth","K","CHI","K","CHI","null","1.8","null","null","null","21","null","null","0","null","null","null","1.8","1.8","8.1536","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","null","10.06","null","null","null","33","null","null","0.4","null","null","null","10.06","10.06","4.6017","null",
"2507828","null","Logan Paulsen","TE","CHI","TE","CHI","null","1.9","null","null","null","51","null","null","0.065","null","null","null","1.9","1.9","9.6369","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","6.54","null","null","null","61","null","null","0.245","null","null","null","6.54","6.54","4.9041","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","17.98","null","null","null","1","null","null","0.905","null","null","null","17.98","17.98","1.2762","null",
"2508101","null","James Develin","RB","NE","RB","NE","null","0.16","null","null","null","115","null","null","0.085","null","null","null","0.16","0.16","null","null",
"2528181","null","Bryan Walters","WR","JAC","WR","JAC","null","2.27","null","null","null","114","null","null","0.05","null","null","null","2.27","2.27","7.0808","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","null","5.89","null","null","null","70","null","null","0.035","null","null","null","5.89","5.89","null","null",
"2530598","null","Jeremy Ross","WR","NYJ","WR","NYJ","null","0.34","null","null","null","161","null","null","0.035","null","null","null","0.34","0.34","null","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","3.66","null","null","null","91","null","null","0.1","null","null","null","3.66","3.66","null","null",
"2530690","null","DuJuan Harris","RB","SF","RB","SF","null","2.57","null","null","null","59","null","null","0.085","null","null","null","2.57","2.57","4.4312","null",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","null","7.17","null","null","null","54","null","null","0.04","null","null","null","7.17","7.17","null","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","13.89","null","null","null","8","null","null","0.24","null","null","null","13.89","13.89","2.6669","null",
"2530763","null","Patrick DiMarco","RB","ATL","RB","ATL","null","0.51","null","null","null","90","null","null","0.045","null","null","null","0.51","0.51","8.8199","null",
"2531049","null","Chris Matthews","WR","BAL","WR","BAL","null","0.68","null","null","null","136","null","null","0","null","null","null","0.68","0.68","null","null",
"2531218","null","Chase Reynolds","RB","LA","RB","LA","null","0.31","null","null","null","105","null","null","0","null","null","null","0.31","0.31","null","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","null","6.95","null","null","null","57","null","null","0.18","null","null","null","6.95","6.95","3.9971","null",
"2532797","null","Brandon Bolden","RB","NE","RB","NE","null","0.37","null","null","null","101","null","null","0.005","null","null","null","0.37","0.37","null","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","null","17.398","null","null","null","14","null","null","0.059","null","null","null","17.398","17.398","5.5347","null",
"2532835","null","Rhett Ellison","TE","MIN","TE","MIN","null","1.96","null","null","null","49","null","null","0.05","null","null","null","1.96","1.96","4.6643","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","null","5.73","null","null","null","22","null","null","0.3","null","null","null","5.73","5.73","4.8673","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","null","8.01","null","null","null","46","null","null","0.225","null","null","null","8.01","8.01","null","null",
"2532842","null","Nick Foles","QB","KC","QB","KC","null","0.174","null","null","null","45","null","null","0.022","null","null","null","0.174","0.174","null","null",
"2532853","null","Ladarius Green","TE","PIT","TE","PIT","null","6.09","null","null","null","16","null","null","0.015","null","null","null","6.09","6.09","5.9836","null",
