playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2507401","null","Dan Carpenter","K","BUF","K","BUF","null","7.1","null","null","null","17","null","null","0.05","null","null","null","7.1","7.1","2.2229","null",
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","null","4.16","null","null","null","54","null","null","0.055","null","null","null","4.16","4.16","7.5495","null",
"2507463","null","Connor Barth","K","CHI","K","CHI","null","6.6","null","null","null","22","null","null","0.45","null","null","null","6.6","6.6","8.1536","null",
"2507763","null","Mike Wallace","WR","BAL","WR","BAL","null","9.97","null","null","null","32","null","null","0.235","null","null","null","9.97","9.97","4.6006","null",
"2507828","null","Logan Paulsen","TE","CHI","TE","CHI","null","2.7","null","null","null","38","null","null","0.315","null","null","null","2.7","2.7","9.668","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","3.86","null","null","null","85","null","null","0.235","null","null","null","3.86","3.86","4.9024","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","16.87","null","null","null","2","null","null","0.79","null","null","null","16.87","16.87","1.2801","null",
"2508123","null","T.J. Yates","QB","HOU","QB","HOU","null","0.02","null","null","null","53","null","null","0.007","null","null","null","0.02","0.02","null","null",
"2528181","null","Bryan Walters","WR","JAC","WR","JAC","null","2.32","null","null","null","97","null","null","0.03","null","null","null","2.32","2.32","7.0758","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","null","5.88","null","null","null","67","null","null","0.155","null","null","null","5.88","5.88","null","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","1.7","null","null","null","106","null","null","0.04","null","null","null","1.7","1.7","null","null",
"2530690","null","DuJuan Harris","RB","SF","RB","SF","null","2.92","null","null","null","65","null","null","0.04","null","null","null","2.92","2.92","4.4167","null",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","null","9.36","null","null","null","37","null","null","0.08","null","null","null","9.36","9.36","null","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","13.7","null","null","null","8","null","null","0.375","null","null","null","13.7","13.7","2.6686","null",
"2530763","null","Patrick DiMarco","RB","ATL","RB","ATL","null","0.74","null","null","null","93","null","null","0.06","null","null","null","0.74","0.74","8.7836","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","null","9.08","null","null","null","41","null","null","0.055","null","null","null","9.08","9.08","3.9968","null",
"2532797","null","Brandon Bolden","RB","NE","RB","NE","null","1.18","null","null","null","86","null","null","0.135","null","null","null","1.18","1.18","null","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","null","17.07","null","null","null","11","null","null","0.192","null","null","null","17.07","17.07","5.5347","null",
"2532835","null","Rhett Ellison","TE","MIN","TE","MIN","null","1.09","null","null","null","51","null","null","0.01","null","null","null","1.09","1.09","4.6695","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","null","8.66","null","null","null","7","null","null","0.13","null","null","null","8.66","8.66","4.8735","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","null","5.72","null","null","null","69","null","null","0.11","null","null","null","5.72","5.72","null","null",
"2532842","null","Nick Foles","QB","KC","QB","KC","null","5.31","null","null","null","32","null","null","2.129","null","null","null","5.31","5.31","null","null",
"2532853","null","Ladarius Green","TE","PIT","TE","PIT","null","6.12","null","null","null","18","null","null","0.395","null","null","null","6.12","6.12","5.9956","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","null","10.8","null","null","null","24","null","null","0.135","null","null","null","10.8","10.8","null","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","null","9.43","null","null","null","35","null","null","0.055","null","null","null","9.43","9.43","null","null",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","null","6.59","null","null","null","60","null","null","0.06","null","null","null","6.59","6.59","6.7136","null",
"2532888","null","Case Keenum","QB","LA","QB","LA","null","3.756","null","null","null","33","null","null","1.401","null","null","null","3.756","3.756","null","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","null","11.14","null","null","null","18","null","null","0.405","null","null","null","11.14","11.14","3.5623","null",
"2532933","null","Brian Quick","WR","LA","WR","LA","null","6.49","null","null","null","62","null","null","0.225","null","null","null","6.49","6.49","6.4721","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","null","16.39","null","null","null","15","null","null","0.418","null","null","null","16.39","16.39","6.2895","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","null","18.684","null","null","null","6","null","null","0.492","null","null","null","18.684","18.684","5.1573","null",
"2532978","null","Jarius Wright","WR","MIN","WR","MIN","null","1.72","null","null","null","105","null","null","0.03","null","null","null","1.72","1.72","3.3327","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","null","15.03","null","null","null","21","null","null","0.425","null","null","null","15.03","15.03","5.1573","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","null","11.9","null","null","null","15","null","null","0.49","null","null","null","11.9","11.9","3.2775","null",
