playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"496812","null","Erik Lorig","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","11.5","null","null","null","29","null","null","6.15","null","null","null","11.5","11.5","null","null",
"497108","null","Jimmy Clausen","QB","FA","QB","FA","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","SF","QB","SF","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.08","null","null","null","60","null","null","0","null","null","null","0.08","0.08","null","null",
"497145","null","Joique Bell","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","13.6","null","null","null","9","null","null","0.45","null","null","null","13.6","13.6","4.2623","null",
"497172","null","Anthony Dixon","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497174","null","Jonathan Dwyer","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497190","null","Dexter McCluster","RB","SD","RB","SD","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NYJ","RB","NYJ","null","1.5","null","null","null","67","null","null","0.05","null","null","null","1.5","1.5","11.0181","null",
"497206","null","James Starks","RB","GB","RB","GB","null","4.9","null","null","null","37","null","null","0.95","null","null","null","4.9","4.9","4.5477","null",
"497218","null","Trindon Holliday","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","0.8","null","null","null","48","null","null","0","null","null","null","0.8","0.8","4.2584","null",
"497226","null","Jim Dray","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"497234","null","Garrett Graham","TE","DEN","TE","DEN","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","12.4","null","null","null","1","null","null","1.5","null","null","null","12.4","12.4","null","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","8.6","null","null","null","7","null","null","0.3","null","null","null","8.6","8.6","null","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"497242","null","Clay Harbor","TE","DET","TE","DET","null","0.2","null","null","null","72","null","null","0","null","null","null","0.2","0.2","null","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"497250","null","Anthony McCoy","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","3.3","null","null","null","24","null","null","0.6","null","null","null","3.3","3.3","3.0406","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","6.5","null","null","null","43","null","null","0.3","null","null","null","6.5","6.5","3.7768","null",
"497282","null","Riley Cooper","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497288","null","Jacoby Ford","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","3.3","null","null","null","83","null","null","0","null","null","null","3.3","3.3","null","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","1.2","null","null","null","109","null","null","0","null","null","null","1.2","1.2","6.7012","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","6.8","null","null","null","40","null","null","0.15","null","null","null","6.8","6.8","null","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","5.4","null","null","null","54","null","null","0.1","null","null","null","5.4","5.4","3.1675","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","6.7","null","null","null","41","null","null","0.15","null","null","null","6.7","6.7","4.6906","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
