playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100022","null","Saints","DST","NO","DST","NO","null","12","null","null","null","1","null","null","0","null","null","null","12","12","5.6596","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","6","null","null","null","7","null","null","0","null","null","null","6","6","3.8794","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","12","null","null","null","1","null","null","0.5","null","null","null","12","12","3.8794","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","4","null","null","null","14","null","null","0","null","null","null","4","4","4.9921","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","6","null","null","null","7","null","null","0.5","null","null","null","6","6","-0.5712","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","6","null","null","null","7","null","null","1.5","null","null","null","6","6","4.9921","null",
"100028","null","Chargers","DST","SD","DST","SD","null","4","null","null","null","14","null","null","0.5","null","null","null","4","4","7.8849","null",
"100029","null","49ers","DST","SF","DST","SF","null","5","null","null","null","13","null","null","1","null","null","null","5","5","0.5415","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","3","null","null","null","22","null","null","1","null","null","null","3","3","7.2173","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","12","null","null","null","1","null","null","1.5","null","null","null","12","12","7.2173","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","4","null","null","null","14","null","null","1","null","null","null","4","4","7.4399","null",
"163982","null","Will Johnson","RB","NYG","RB","NYG","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","3.9","null","null","null","22","null","null","0.3","null","null","null","3.9","3.9","4.2673","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","4.9","null","null","null","58","null","null","0","null","null","null","4.9","4.9","null","null",
"496812","null","Erik Lorig","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","10.04","null","null","null","27","null","null","6.13","null","null","null","10.04","10.04","3.4502","null",
"497108","null","Jimmy Clausen","QB","FA","QB","FA","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","SF","QB","SF","null","0","null","null","null","58","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.32","null","null","null","39","null","null","0","null","null","null","0.32","0.32","null","null",
"497145","null","Joique Bell","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","13.4","null","null","null","13","null","null","1.7","null","null","null","13.4","13.4","4.5178","null",
"497172","null","Anthony Dixon","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"497174","null","Jonathan Dwyer","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","3.6","null","null","null","43","null","null","0.35","null","null","null","3.6","3.6","5.453","null",
"497190","null","Dexter McCluster","RB","SD","RB","SD","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NYJ","RB","NYJ","null","1.6","null","null","null","60","null","null","0.1","null","null","null","1.6","1.6","8.4455","null",
"497206","null","James Starks","RB","GB","RB","GB","null","2.6","null","null","null","47","null","null","0.15","null","null","null","2.6","2.6","null","null",
"497218","null","Trindon Holliday","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","0.9","null","null","null","41","null","null","0","null","null","null","0.9","0.9","5.4764","null",
"497226","null","Jim Dray","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497234","null","Garrett Graham","TE","DEN","TE","DEN","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","6.6","null","null","null","15","null","null","1.8","null","null","null","6.6","6.6","3.6983","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","8.1","null","null","null","10","null","null","0.45","null","null","null","8.1","8.1","5.3342","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","13.2","null","null","null","1","null","null","0.35","null","null","null","13.2","13.2","2.3469","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497250","null","Anthony McCoy","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","9.9","null","null","null","7","null","null","0.55","null","null","null","9.9","9.9","4.2673","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","5.5","null","null","null","55","null","null","0.15","null","null","null","5.5","5.5","null","null",
"497282","null","Riley Cooper","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"497288","null","Jacoby Ford","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","10.2","null","null","null","26","null","null","0.2","null","null","null","10.2","10.2","4.9485","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","12.4","null","null","null","6","null","null","0.1","null","null","null","12.4","12.4","2.8273","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","6.3","null","null","null","48","null","null","0.15","null","null","null","6.3","6.3","2.2969","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0.36","null","null","null","35","null","null","0","null","null","null","0.36","0.36","null","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","TEN","WR","TEN","null","0.2","null","null","null","139","null","null","0","null","null","null","0.2","0.2","null","null",
