playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.072","null","null","null","46","null","null","0","null","null","null","0.072","0.072","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","8.88","null","null","null","44","null","null","0.115","null","null","null","8.88","8.88","4.8687","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","2.99","null","null","null","114","null","null","0.07","null","null","null","2.99","2.99","7.6524","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","15.39","null","null","null","4","null","null","2.32","null","null","null","15.39","15.39","3.1427","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","21.044","null","null","null","1","null","null","1.863","null","null","null","21.044","21.044","5.9304","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","5.44","null","null","null","87","null","null","0.315","null","null","null","5.44","5.44","5.6481","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","2.85","null","null","null","65","null","null","0.195","null","null","null","2.85","2.85","4.3386","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","12.2","null","null","null","18","null","null","0.455","null","null","null","12.2","12.2","3.7925","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","0.97","null","null","null","83","null","null","0.07","null","null","null","0.97","0.97","4.2605","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","7.17","null","null","null","37","null","null","0.24","null","null","null","7.17","7.17","3.7925","null",
"2495471","null","Jacquizz Rodgers","RB","TB","RB","TB","null","4.05","null","null","null","54","null","null","0.12","null","null","null","4.05","4.05","5.1186","null",
"2495472","null","Jordan Todman","RB","IND","RB","IND","null","0.33","null","null","null","101","null","null","0.05","null","null","null","0.33","0.33","5.5087","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","12.72","null","null","null","1","null","null","2.19","null","null","null","12.72","12.72","4.3259","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.072","null","null","null","46","null","null","0.002","null","null","null","0.072","0.072","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","3.99","null","null","null","33","null","null","0.72","null","null","null","3.99","3.99","4.0086","null",
"2495835","null","Anthony Fasano","TE","TEN","TE","TEN","null","1.57","null","null","null","60","null","null","0.315","null","null","null","1.57","1.57","6.2293","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","12.11","null","null","null","14","null","null","0.175","null","null","null","12.11","12.11","5.2027","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","null","9","null","null","null","7","null","null","0.495","null","null","null","9","9","3.7707","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","null","3.25","null","null","null","60","null","null","0.24","null","null","null","3.25","3.25","7.2249","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","18.112","null","null","null","7","null","null","0.397","null","null","null","18.112","18.112","5.6603","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","9.94","null","null","null","28","null","null","0.04","null","null","null","9.94","9.94","4.1449","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","19.54","null","null","null","2","null","null","0.797","null","null","null","19.54","19.54","3.2293","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0.1","null","null","null","43","null","null","0.01","null","null","null","0.1","0.1","null","null",
"2505076","null","Josh McCown","QB","CLE","QB","CLE","null","7.822","null","null","null","33","null","null","6.835","null","null","null","7.822","7.822","3.4994","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","15.964","null","null","null","20","null","null","0.627","null","null","null","15.964","15.964","5.12","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","9.1","null","null","null","6","null","null","0.325","null","null","null","9.1","9.1","4.4845","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0.214","null","null","null","36","null","null","0.048","null","null","null","0.214","0.214","null","null",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","null","8.79","null","null","null","45","null","null","0.125","null","null","null","8.79","8.79","2.92","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","8.42","null","null","null","10","null","null","0.23","null","null","null","8.42","8.42","3.6121","null",
"2505982","null","Matt Schaub","QB","ATL","QB","ATL","null","0.06","null","null","null","53","null","null","0","null","null","null","0.06","0.06","null","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","16.192","null","null","null","19","null","null","0.493","null","null","null","16.192","16.192","5.12","null",
"2506053","null","Luke McCown","QB","NO","QB","NO","null","0.068","null","null","null","49","null","null","0","null","null","null","0.068","0.068","null","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","13.08","null","null","null","5","null","null","0.23","null","null","null","13.08","13.08","3.8108","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","17.732","null","null","null","8","null","null","0.063","null","null","null","17.732","17.732","6.2005","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","17.224","null","null","null","14","null","null","0.368","null","null","null","17.224","17.224","5.9304","null",
"2506147","null","John Kuhn","RB","NO","RB","NO","null","2.6","null","null","null","67","null","null","0.22","null","null","null","2.6","2.6","6.5228","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","16.77","null","null","null","17","null","null","0.486","null","null","null","16.77","16.77","1.3385","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","18.228","null","null","null","5","null","null","0.072","null","null","null","18.228","18.228","3.4994","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","null","11.48","null","null","null","20","null","null","0.05","null","null","null","11.48","11.48","3.8705","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","8.8","null","null","null","29","null","null","0.05","null","null","null","8.8","8.8","3.7145","null",
"2506481","null","Dan Orlovsky","QB","DET","QB","DET","null","0.056","null","null","null","56","null","null","0.002","null","null","null","0.056","0.056","null","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.072","null","null","null","46","null","null","0.004","null","null","null","0.072","0.072","null","null",
"2506562","null","Matt Cassel","QB","TEN","QB","TEN","null","0.056","null","null","null","56","null","null","0.004","null","null","null","0.056","0.056","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","15.062","null","null","null","23","null","null","0.236","null","null","null","15.062","15.062","10.7923","null",
"2506874","null","Reggie Bush","RB","BUF","RB","BUF","null","0.84","null","null","null","86","null","null","0.085","null","null","null","0.84","0.84","9.4091","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","0.06","null","null","null","53","null","null","0.002","null","null","null","0.06","0.06","null","null",
"2506897","null","Devin Hester","WR","BAL","WR","BAL","null","0","null","null","null","174","null","null","0","null","null","null","0","0","null","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0.07","null","null","null","173","null","null","0.07","null","null","null","0.07","0.07","null","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","null","0","null","null","null","119","null","null","0","null","null","null","0","0","null","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","null","6.12","null","null","null","78","null","null","0.035","null","null","null","6.12","6.12","5.0914","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","null","0.74","null","null","null","67","null","null","0.105","null","null","null","0.74","0.74","7.4983","null",
"2507282","null","Matt Moore","QB","MIA","QB","MIA","null","0.048","null","null","null","63","null","null","0.024","null","null","null","0.048","0.048","null","null",
