playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","6.33","null","null","null","63","null","null","0.07","null","null","null","6.33","6.33","4.9468","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","12.74","null","null","null","8","null","null","0.23","null","null","null","12.74","12.74","2.8071","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","13.41","null","null","null","7","null","null","0.72","null","null","null","13.41","13.41","2.2721","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","TEN","WR","TEN","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","16.51","null","null","null","13","null","null","0.07","null","null","null","16.51","16.51","5.8533","null",
"2495158","null","Leonard Hankerson","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","0","null","null","null","129","null","null","0","null","null","null","0","0","9.7612","null",
"2495161","null","Roy Helu","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","NO","RB","NO","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495181","null","Jerrod Johnson","QB","DAL","QB","DAL","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","14.2","null","null","null","23","null","null","0.3","null","null","null","14.2","14.2","6.2538","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","7.56","null","null","null","14","null","null","0.335","null","null","null","7.56","7.56","4.5518","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","7.82","null","null","null","47","null","null","0.055","null","null","null","7.82","7.82","6.2459","null",
"2495192","null","Greg Little","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","null","16.72","null","null","null","5","null","null","2.9","null","null","null","16.72","16.72","null","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.37","null","null","null","62","null","null","0.015","null","null","null","0.37","0.37","9.7439","null",
"2495241","null","Daniel Thomas","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","9.11","null","null","null","23","null","null","0.14","null","null","null","9.11","9.11","5.453","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","5.62","null","null","null","21","null","null","0.195","null","null","null","5.62","5.62","3.7694","null",
"2495306","null","Ricardo Lockette","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495314","null","Bruce Miller","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","6.81","null","null","null","34","null","null","0.275","null","null","null","6.81","6.81","3.4892","null",
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","0.73","null","null","null","110","null","null","0.035","null","null","null","0.73","0.73","8.2328","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.38","null","null","null","81","null","null","0.055","null","null","null","0.38","0.38","2.2735","null",
"2495341","null","Cecil Shorts","WR","TB","WR","TB","null","6.2","null","null","null","68","null","null","0.045","null","null","null","6.2","6.2","7.0101","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","5.68","null","null","null","20","null","null","0.09","null","null","null","5.68","5.68","4.125","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","8.12","null","null","null","11","null","null","0.5","null","null","null","8.12","8.12","4.5518","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.076","null","null","null","56","null","null","0.076","null","null","null","0.076","0.076","null","null",
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.108","null","null","null","34","null","null","0.002","null","null","null","0.108","0.108","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","11.38","null","null","null","17","null","null","0.115","null","null","null","11.38","11.38","3.9534","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","16.36","null","null","null","2","null","null","0.63","null","null","null","16.36","16.36","1.5079","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","15.07","null","null","null","5","null","null","1.2","null","null","null","15.07","15.07","1.2023","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","19","null","null","null","1","null","null","1.005","null","null","null","19","19","4.6517","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","6.85","null","null","null","58","null","null","0.215","null","null","null","6.85","6.85","null","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","0","null","null","null","88","null","null","0","null","null","null","0","0","4.5178","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","10.17","null","null","null","18","null","null","0.265","null","null","null","10.17","10.17","3.5827","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","8.99","null","null","null","24","null","null","0.06","null","null","null","8.99","8.99","null","null",
"2495470","null","Stevan Ridley","RB","ATL","RB","ATL","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495471","null","Jacquizz Rodgers","RB","TB","RB","TB","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495473","null","Shane Vereen","RB","NYG","RB","NYG","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495558","null","Dwayne Bowe","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495560","null","Ahmad Bradshaw","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495573","null","Scott Chandler","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2495620","null","Clark Harris","TE","CIN","TE","CIN","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2495651","null","Jacoby Jones","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495663","null","Marshawn Lynch","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","10.31","null","null","null","4","null","null","1.085","null","null","null","10.31","10.31","3.1293","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.092","null","null","null","44","null","null","0","null","null","null","0.092","0.092","null","null",
"2495802","null","Jason Avant","WR","KC","WR","KC","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495821","null","Marques Colston","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","null","17.17","null","null","null","4","null","null","0.15","null","null","null","17.17","17.17","7.0548","null",
"2495825","null","Owen Daniels","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","2.09","null","null","null","39","null","null","0.11","null","null","null","2.09","2.09","4.4095","null",
"2495835","null","Anthony Fasano","TE","TEN","TE","TEN","null","0.56","null","null","null","59","null","null","0.105","null","null","null","0.56","0.56","4.9074","null",
"2495838","null","Bruce Gradkowski","QB","PIT","QB","PIT","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"2495863","null","Tarvaris Jackson","QB","FA","QB","FA","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"2495867","null","Greg Jennings","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2495888","null","Marcedes Lewis","TE","JAC","TE","JAC","null","2.06","null","null","null","40","null","null","0.165","null","null","null","2.06","2.06","5.9031","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","12.14","null","null","null","13","null","null","0.34","null","null","null","12.14","12.14","4.1826","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","null","9.42","null","null","null","5","null","null","0.515","null","null","null","9.42","9.42","3.556","null",
"2495974","null","Charlie Whitehurst","QB","FA","QB","FA","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2499255","null","Richard Gordon","TE","BAL","TE","BAL","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","16.88","null","null","null","9","null","null","0.12","null","null","null","16.88","16.88","0.6467","null",
"2504531","null","Michael Vick","QB","FA","QB","FA","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","10.15","null","null","null","23","null","null","0.06","null","null","null","10.15","10.15","5.2525","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","16.16","null","null","null","17","null","null","0.075","null","null","null","16.16","16.16","5.4527","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0.168","null","null","null","30","null","null","0.042","null","null","null","0.168","0.168","null","null",
"2505076","null","Josh McCown","QB","CLE","QB","CLE","null","0.096","null","null","null","39","null","null","0","null","null","null","0.096","0.096","null","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","17.01","null","null","null","6","null","null","0.065","null","null","null","17.01","17.01","null","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","8.44","null","null","null","9","null","null","0.2","null","null","null","8.44","8.44","4.0539","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0.096","null","null","null","39","null","null","0","null","null","null","0.096","0.096","null","null",
"2505551","null","Andre Johnson","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","8.36","null","null","null","10","null","null","0.47","null","null","null","8.36","8.36","4.3384","null",
"2505790","null","Wes Welker","WR","LA","WR","LA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2505936","null","Steven Jackson","RB","NE","RB","NE","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2505982","null","Matt Schaub","QB","ATL","QB","ATL","null","0.096","null","null","null","39","null","null","0","null","null","null","0.096","0.096","null","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","16.82","null","null","null","10","null","null","0.14","null","null","null","16.82","16.82","8.6568","null",
"2506053","null","Luke McCown","QB","NO","QB","NO","null","0.104","null","null","null","36","null","null","0.002","null","null","null","0.104","0.104","null","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","12.38","null","null","null","10","null","null","0.07","null","null","null","12.38","12.38","2.6542","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","16.91","null","null","null","8","null","null","0.06","null","null","null","16.91","16.91","null","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","16.29","null","null","null","16","null","null","0.14","null","null","null","16.29","16.29","5.8533","null",
"2506122","null","Benjamin Watson","TE","BAL","TE","BAL","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2506147","null","John Kuhn","RB","NO","RB","NO","null","1.34","null","null","null","68","null","null","0.29","null","null","null","1.34","1.34","6.1076","null",
"2506287","null","Lance Moore","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2506313","null","Nate Washington","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","16.7","null","null","null","11","null","null","0.115","null","null","null","16.7","16.7","4.6517","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","18.76","null","null","null","2","null","null","1.56","null","null","null","18.76","18.76","1.8482","null",
"2506366","null","Roddy White","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","11.27","null","null","null","14","null","null","0.275","null","null","null","11.27","11.27","2.9281","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.092","null","null","null","44","null","null","0","null","null","null","0.092","0.092","null","null",
"2506562","null","Matt Cassel","QB","TEN","QB","TEN","null","0.088","null","null","null","48","null","null","0.002","null","null","null","0.088","0.088","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","13.38","null","null","null","26","null","null","0.09","null","null","null","13.38","13.38","null","null",
"2506619","null","Daniel Fells","TE","NYG","TE","NYG","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"2506871","null","Fred Jackson","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","0.108","null","null","null","34","null","null","0.004","null","null","null","0.108","0.108","null","null",
"2506897","null","Devin Hester","WR","BAL","WR","BAL","null","0.6","null","null","null","116","null","null","0.12","null","null","null","0.6","0.6","null","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
