michael thomas,26,9.69,2,7.58,
daniel lasco,10,0.12,1,0.31,
tommylee lewis,10,0.44,2,0.61,
jake lampman,10,0.84,2,1.02,
carson palmer,34,18.22,0,7.83,
larry fitzgerald,31,12.7,2,8.29,
drew stanton,20,0.42,0,0.49,
jermaine gresham,11,7.06,3,6.35,
brittan golden,10,0.9,2,1.01,
darren fells,10,2.37,3,2.32,
stepfan taylor,10,0.49,1,0.84,
andre ellington,10,2.48,1,3.00,
kerwynn williams,10,0.19,1,0.31,
john brown,12,3.93,2,3.62,
david johnson,42,25.78,1,14.93,
jj nelson,14,4.72,2,3.97,
hakeem valles,10,0.04,3,0.10,
new orleans,12,6.80,4,5.53,
arizona,17,7.190,4,4.88,
blaine gabbert,23,0.78,0,0.64,
christian ponder,20,0,0,0,
colin kaepernick,35,18.43,0,8.48,
torrey smith,11,0,2,0,
jeremy kerley,12,5.47,2,5.50,
dujuan harris,10,1.18,1,1.34,
shaun draughn,10,2.96,1,3.61,
garrett celek,10,3.6,3,3.52,
rod streater,10,0.67,2,0.68,
quinton patton,12,3.86,2,3.81,
carlos hyde,26,13.32,1,9.58,
jeron hamm,10,0.66,3,0.79,
blake bell,10,0.2,3,0.34,
mike davis,10,0.89,1,1.15,
chris harper,10,0.87,2,0.75,
aaron burbridge,10,0.15,2,0.19,
matt schaub,20,0.17,0,0.29,
eric weems,10,1.35,2,1.29,
matt ryan,40,24.8,0,7.63,
julio jones,37,0,2,0,
aldrick robinson,10,0.53,2,0.74,
patrick dimarco,10,0.83,1,1.25,
mohamed sanu,15,8.47,2,6.32,
levine toilolo,10,3.24,3,3.22,
devonta freeman,36,19.77,1,10.16,
taylor gabriel,20,10.14,2,8.94,
tevin coleman,20,12.76,1,7.95,
justin hardy,10,4.53,2,5.21,
terron ward,10,1.56,1,1.63,
austin hooper,10,5.6,3,5.27,
joshua perkins,10,0.05,3,0.11,
san francisco,10,2.620,4,-1.06,
atlanta,16,7.695,4,4.42,
nick williams,10,0.61,2,0.53,
michael floyd,17,0.59,2,0.83,
tom brady,34,19.27,0,8.95,
martellus bennett,16,8.59,3,7.23,
danny amendola,10,2.32,2,2.84,
julian edelman,19,11.63,2,11.03,
legarrette blount,28,12.07,1,6.96,
james develin,10,0.06,1,0.21,
dion lewis,18,5.69,1,9.63,
chris hogan,12,4.15,2,4.02,
brandon bolden,10,0.64,1,0.88,
jimmy garoppolo,20,0.29,0,0.40,
james white,15,6.14,1,5.24,
malcolm mitchell,14,9.45,2,6.80,
greg scruggs,10,0.78,3,0.72,
justin forsett,13,5.94,1,4.83,
jordan norwood,10,0.69,2,0.89,
demaryius thomas,23,11.73,2,8.45,
emmanuel sanders,23,11.09,2,7.51,
virgil green,10,3.09,3,2.77,
austin davis,20,0,0,0,
cody latimer,10,0.87,2,0.86,
bennie fowler,10,2.69,2,2.83,
juwan thompson,10,0.55,1,0.73,
jeff heuerman,10,0.75,3,0.75,
aj derby,10,6.84,3,6.93,
trevor siemian,26,12.73,0,6.79,
jordan taylor,10,0.7,2,0.74,
paxton lynch,21,0.77,0,0.59,
devontae booker,14,6,1,5.67,
kalif raymond,10,0.77,2,0.77,
new england,16,8.515,4,4.95,
denver,17,5.995,4,5.77,
griff whalen,10,0,2,0,
michael crabtree,23,11.98,2,8.30,
taiwan jones,10,1.44,1,1.30,
andre holmes,10,1.87,2,1.94,
jamize olawale,10,1.46,1,1.74,
latavius murray,32,11.28,1,8.16,
mychal rivera,10,4.16,3,3.74,
derek carr,34,18.02,0,8.54,
seth roberts,13,3.21,2,2.82,
amari cooper,24,13.98,2,10.84,
clive walford,10,5.5,3,5.58,
deandre washington,10,1.12,1,1.40,
johnny holton,10,0.66,2,0.67,
jalen richard,13,5.25,1,5.05,
