Leonte Carroo,0.0,0.0,0.0,0.4,5.1,0.0,0.0,0.6
Cody Latimer,0.0,0.0,0.0,0.4,4.5,0.0,0.0,0.6
Maurice Harris,0.0,0.0,0.0,0.5,4.9,0.0,0.0,0.5
Jake Lampman,0.0,0.0,0.0,0.3,4.2,0.0,0.0,0.5
TJ Jones,0.0,0.0,0.0,0.3,4.4,0.0,0.0,0.5
Corey Fuller,0.0,0.0,0.0,0.3,4.7,0.0,0.0,0.5
Geronimo Allison,0.0,0.1,0.0,0.3,3.9,0.0,0.0,0.5
Michael Campanaro,0.0,0.0,0.0,0.4,4.5,0.0,0.0,0.5
Kaelin Clay,0.0,0.0,0.0,0.4,4.5,0.0,0.0,0.5
Chris Matthews,0.0,0.0,0.0,0.4,4.5,0.0,0.0,0.5
Lucky Whitehead,0.4,2.3,0.0,0.2,1.8,0.0,0.0,0.5
Trevor Davis,0.0,0.0,0.0,0.3,3.1,0.0,0.0,0.4
Nick Williams,0.0,0.0,0.0,0.2,3.0,0.0,0.0,0.4
Demarcus Robinson,0.0,0.0,0.0,0.2,3.2,0.0,0.0,0.4
Vince Mayle,0.0,0.0,0.0,0.2,3.1,0.0,0.0,0.4
Chester Rogers,0.0,0.0,0.0,0.3,3.5,0.0,0.0,0.4
Mike Thomas,0.0,0.0,0.0,0.2,2.7,0.0,0.0,0.4
Devin Street,0.0,0.0,0.0,0.3,3.9,0.0,0.0,0.4
Aaron Burbridge,0.0,0.0,0.0,0.3,3.0,0.0,0.0,0.4
Marc Mariani,0.0,0.0,0.0,0.3,3.4,0.0,0.0,0.4
Tommylee Lewis,0.0,0.0,0.0,0.3,3.2,0.0,0.0,0.4
Tevaun Smith,0.0,0.0,0.0,0.3,3.7,0.0,0.0,0.4
Geremy Davis,0.0,0.0,0.0,0.2,2.7,0.0,0.0,0.4
Chris Moore,0.0,0.0,0.0,0.3,3.3,0.0,0.0,0.4
Kalif Raymond,0.0,0.0,0.0,0.2,2.5,0.0,0.0,0.3
Walter Powell,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.3
Matt Slater,0.0,0.1,0.0,0.2,3.1,0.0,0.0,0.3
Eric Weems,0.0,0.0,0.0,0.2,2.1,0.0,0.0,0.3
Brittan Golden,0.0,0.0,0.0,0.2,2.4,0.0,0.0,0.3
Dwayne Harris,0.0,0.1,0.0,0.2,2.3,0.0,0.0,0.3
Bradley Marquez,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2
De'Anthony Thomas,0.0,0.1,0.0,0.2,1.3,0.0,0.0,0.2
Devin Hester,0.0,0.0,0.0,0.1,1.5,0.0,0.0,0.2
Frankie Hammond,0.0,0.0,0.0,0.2,1.5,0.0,0.0,0.2
Rashad Ross,0.0,0.0,0.0,0.1,1.2,0.0,0.0,0.1
Jakeem Grant,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1
